65,1102923196,1669027355092,242
456,1102923196,1669027352483,181
39,1102923196,1669027350271,248
66,1102832044,1669027478364,242
676,1102832044,1669027484018,96
37,1102832044,1669027478806,248
467,1102832044,1669027481698,181
65,1103436253,1669027462212,242
107,1103436253,1669027466511,96
460,1103436253,1669027463080,181
37,1103436253,1669027461590,248
71,1103436273,1669027428267,242
505,1103436273,1669027431650,181
35,1103436273,1669027428608,248
68,1102834163,1669027448839,242
186,1102834163,1669027495764,96
466,1102834163,1669027450572,181
32,1102834163,1669027448960,248
67,1102923252,1669027460690,242
3278,1102923252,1669027469646,96
36,1102923252,1669027461022,248
508,1102923252,1669027466243,181
65,1103437200,1669027494674,242
2121,1103437200,1669027463812,96
37,1103437200,1669027458176,248
463,1103437200,1669027497724,181
70,1102921180,1669027489635,242
156,1102921180,1669027490906,96
33,1102921180,1669027322601,248
474,1102921180,1669027489963,181
70,1102924251,1669027443967,242
33,1102924251,1669027446575,96
33,1102924251,1669027443625,248
501,1102924251,1669027444614,181
76,1102833100,1669027478118,242
116,1102833100,1669027484067,96
28,1102833100,1669027478648,248
500,1102833100,1669027480048,181
72,1102830020,1669027455399,242
233,1102830020,1669027290135,96
30,1102830020,1669027455079,248
477,1102830020,1669027456292,181
69,1102832959,1669027496742,242
204,1102832959,1669027498590,96
34,1102832959,1669027496404,248
453,1102832959,1669027497405,181
74,1103436112,1669027432195,242
31,1103436112,1669027432509,248
492,1103436112,1669027434121,181
67,1102832942,1669027481853,242
61,1102832942,1669027484608,96
470,1102832942,1669027482506,181
35,1102832942,1669027481520,248
67,1103436121,1669027445469,242
35,1103436121,1669027445788,248
468,1103436121,1669027447233,181
75,1102923028,1669027343984,242
1673,1102923028,1669027348436,96
33,1102923028,1669027387006,248
494,1102923028,1669027387639,181
71,1102833943,1669027214509,242
73,1102833943,1669027092610,96
33,1102833943,1669027402091,248
467,1102833943,1669027403283,181
66,1102924048,1669027441174,242
102,1102924048,1669027442919,96
39,1102924048,1669027438049,248
481,1102924048,1669027486911,181
65,1103437179,1669027472768,242
61,1103437179,1669027477811,96
38,1103437179,1669027473428,248
477,1103437179,1669027475149,181
67,1103436036,1669027467497,242
336,1103436036,1669027469959,96
38,1103436036,1669027468856,248
476,1103436036,1669027468712,181
73,1103437072,1669027493602,242
277,1103437072,1669027497842,96
488,1103437072,1669027495981,181
31,1103437072,1669027494476,248
68,1103436062,1669027424148,242
466,1103436062,1669027424796,181
35,1103436062,1669027424476,248
70,1102923110,1669027486321,242
110,1102923110,1669027488749,96
38,1102923110,1669027485910,248
430,1102923110,1669027486921,181
66,1102831973,1669027421639,242
461,1102831973,1669027425845,96
35,1102831973,1669027421557,248
466,1102831973,1669027423570,181
78,1103437088,1669027396969,242
54,1103437088,1669027404280,96
30,1103437088,1669027400580,248
523,1103437088,1669026922465,181
71,1103437102,1669027488697,242
47,1103437102,1669027492041,96
32,1103437102,1669027489013,248
463,1103437102,1669027490719,181
67,1102831804,1669027354111,242
113,1102831804,1669027401855,96
46,1102831804,1669027399485,248
440,1102831804,1669027399796,181
68,1102922918,1669027417617,242
447,1102922918,1669027419394,181
34,1102922918,1669027417959,248
67,1102921889,1669027254747,242
53,1102921889,1669027471406,96
38,1102921889,1669027422497,248
885,1102921889,1669027469101,181
75,1102833817,1669027460261,242
28,1102833817,1669027465715,96
504,1102833817,1669027461240,181
28,1102833817,1669027460299,248
68,1102922911,1669027473734,242
70,1102922911,1669027477404,96
36,1102922911,1669027472464,248
463,1102922911,1669027474491,181
66,1102830744,1669027409780,242
204,1102830744,1669027413411,96
35,1102830744,1669027409822,248
590,1102830744,1669027411650,181
68,1102831775,1669027392127,242
74,1102831775,1669027393904,96
38,1102831775,1669027392450,248
461,1102831775,1669027392827,181
59,1102830749,1669027427071,242
47,1102830749,1669027427390,248
460,1102830749,1669027427711,181
69,1102832783,1669027500578,242
254,1102832783,1669027468401,96
34,1102832783,1669027500213,248
483,1102832783,1669027467686,181
72,1102921862,1669027495019,242
51,1102921862,1669027498928,96
32,1102921862,1669027495660,248
489,1102921862,1669027496972,181
67,1102923004,1669027454563,242
96,1102923004,1669027463413,96
447,1102923004,1669027458789,181
38,1102923004,1669027496082,248
70,1102922997,1669027461352,242
161,1102922997,1669027465688,96
36,1102922997,1669027461995,248
524,1102922997,1669027463416,181
68,1102922983,1669027452067,242
56,1102922983,1669027454221,96
36,1102922983,1669027451745,248
489,1102922983,1669027452702,181
72,1103435930,1669027416768,242
349,1103435930,1669027420342,96
560,1103435930,1669027418260,181
32,1103435930,1669027417084,248
68,1103435938,1669027437181,242
472,1103435938,1669027438743,181
35,1103435938,1669027437539,248
64,1102833875,1669027406335,242
